1,0,625
1,0,722
1,0,728
3,0,750
2,0,769
3,0,820
3,0,821
2,0,854
1,0,1106
2,0,1129
1,0,1200
1,0,1301
1,0,1391
3,0,1398
1,0,1409
1,0,1479
1,0,1537
1,0,1546
1,0,1780
2,0,1831
1,0,1862
2,0,1887
1,0,1959
1,0,1962
12,0,1990
17,0,1994
7,0,2006
1,0,2013
6,1,2013
3,1,2112
5,0,2115
1,0,2126
1,0,2137
2,0,2190
1,0,2211
1,0,2216
1,0,2264
1,0,2274
1,0,2287
6,1,2299
1,0,2299
1,0,2327
1,0,2337
3,0,2344
2,0,2356
2,0,2356
1,0,2379
2,0,2475
1,0,2497
2,0,2521
8,0,2539
3,0,2587
10,2,2607
1,0,2627
1,0,2636
3,0,2648
2,0,2657
1,0,2726
1,0,2751
1,0,2756
1,0,2762
4,0,2798
27,3,2834
1,0,2853
4,0,2879
1,0,2879
1,0,2920
1,0,2921
1,0,2971
6,0,2979
2,0,3001
20,0,3022
1,0,3024
31,2,3038
8,0,3098
6,0,3138
1,0,3191
1,0,3210
2,0,3233
1,1,3241
4,0,3250
3,0,3259
1,0,3265
3,0,3266
25,0,3278
1,0,3387
2,0,3421
5,0,3487
4,0,3519
2,1,3527
12,0,3581
2,0,3583
10,0,3632
1,0,3664
1,0,3688
2,0,3736
3,0,3781
1,0,3819
1,0,3821
2,0,3834
28,0,3838
3,0,3887
3,0,3898
14,0,3968
3,0,3975
2,0,3981
1,0,3985
6,0,4006
4,0,4016
21,0,4033
1,0,4055
3,0,4059
1,0,4086
1,0,4156
1,0,4158
1,0,4177
1,0,4230
7,0,4265
28,0,4274
3,0,4294
2,0,4295
1,0,4298
15,0,4300
2,0,4315
5,0,4321
2,0,4333
3,0,4334
1,0,4337
1,0,4351
5,0,4380
1,0,4403
4,0,4413
2,0,4415
5,0,4416
11,0,4424
1,0,4427
2,0,4447
3,0,4488
4,0,4505
2,0,4556
1,0,4633
4,0,4636
8,0,4642
4,0,4676
29,6,4736
1,0,4739
3,1,4760
2,0,4797
3,0,4823
2,0,4828
2,0,4891
4,0,4902
9,0,4908
6,0,4920
1,0,4935
1,0,4937
6,1,4952
2,0,4991
3,0,5051
13,0,5056
2,0,5068
5,0,5071
4,0,5131
2,0,5143
1,0,5183
2,0,5192
3,0,5200
9,0,5213
2,0,5218
1,0,5230
1,0,5234
14,0,5254
15,1,5257
19,0,5311
1,0,5331
25,0,5335
1,0,5342
47,3,5346
2,0,5361
29,0,5366
